node,lv1_relation_text
RAID LEVEL 0+1: High Data Transfer Performance,"['RAID LEVEL 0+1: High Data Transfer Performance is subclass of RAID 0+1', 'RAID LEVEL 0+1: High Data Transfer Performance use knowledge of Mirroring']"
RAID LEVEL 2: Hamming Code ECC,"['RAID LEVEL 2: Hamming Code ECC is subclass of RAID 2', 'RAID LEVEL 2: Hamming Code ECC use knowledge of error correction', 'RAID LEVEL 2: Hamming Code ECC use knowledge of Hamming code']"
RAID LEVEL 50: High I/O Rates & Data Transfer Performance,"['RAID LEVEL 50: High I/O Rates & Data Transfer Performance is subclass of RAID 50', 'RAID LEVEL 50: High I/O Rates & Data Transfer Performance use knowledge of Striping Layer']"
RAID LEVEL 6: Independent Data Disks with Two Independent Distributed Parity Schemes,"['RAID LEVEL 6: Independent Data Disks with Two Independent Distributed Parity Schemes is subclass of RAID 6', 'RAID LEVEL 6: Independent Data Disks with Two Independent Distributed Parity Schemes use knowledge of ECC Code']"
RC4,['RC4 is subclass of Symmetric Encryption']
RCE,['RCE is synonym of Remote Code Execution']
RDB,['RDB is synonym of Relational Database']
RDBMS,"['RDBMS is synonym of Relational Database Management System', 'RDBMS is synonym of Relational Databases']"
RDF,['RDF is subclass of Semantic Web']
REST,"['REST is subclass of Architectural Style', 'REST is subclass of Web Service', 'REST is subclass of API', 'REST use knowledge of JSON', 'REST use knowledge of Web API']"
REST API,"['REST API is synonym of RESTful APIs', 'REST API is synonym of RESTful API', 'REST API is subclass of API', 'REST API use knowledge of JSON', 'REST API use knowledge of HTTP Methods', 'REST API use knowledge of URI', 'REST API use knowledge of HTTP']"
REST APIs,['REST APIs is synonym of APIs']
REST-API,"['REST-API is subclass of API', 'REST-API is subclass of Back-end Development', 'REST-API use knowledge of JSON', 'REST-API use knowledge of REST']"
RESTful API,"['RESTful API is synonym of RESTful APIs', 'RESTful API is subclass of API', 'RESTful API use knowledge of Web Services', 'RESTful API use knowledge of JSON']"
RESTful APIs,"['RESTful APIs is synonym of REST-API', 'RESTful APIs is subclass of Frontend Engineering', 'RESTful APIs is subclass of Back-end Development']"
RFC 822,"['RFC 822 is subclass of message format', 'RFC 822 use knowledge of ASCII characters', 'RFC 822 use knowledge of body', 'RFC 822 use knowledge of Message-ID', 'RFC 822 use knowledge of Subject', 'RFC 822 use knowledge of From', 'RFC 822 use knowledge of Date', 'RFC 822 use knowledge of To', 'RFC 822 use knowledge of header lines']"
RIGHT JOIN,['RIGHT JOIN is subclass of SQL JOIN clause']
RR,['RR is synonym of Round-Robin']
RSA,['RSA is subclass of Asymmetric Encryption']
RUP,['RUP is synonym of Rational Unified Process (RUP)']
RabbitMQ,"['RabbitMQ is subclass of Message Queues', 'RabbitMQ is subclass of Channel Library']"
Race Condition,['Race Condition is subclass of Process Synchronization']
Racing Cond,['Racing Cond is synonym of Data Race']
Rack Mount,['Rack Mount is synonym of Rack Unit']
Rack Server,['Rack Server is synonym of Rack Servers']
Rack Servers,['Rack Servers is subclass of Rack and Tower Servers']
Rack Unit,['Rack Unit is subclass of Rack Servers']
Rack and Tower Servers,['Rack and Tower Servers is subclass of Computer Server']
Radioactive Decay,['Radioactive Decay is subclass of Random']
Random,['Random is subclass of Python Math']
Random Class,"['Random Class is subclass of Java Predefined Classes', 'Random Class use knowledge of The random class', 'Random Class use knowledge of NextInt Method', 'Random Class use knowledge of Number generator']"
Random Number Generation,"['Random Number Generation use knowledge of Games of chance', 'Random Number Generation use knowledge of random.randint', 'Random Number Generation use knowledge of random.shuffle', 'Random Number Generation use knowledge of random.sample', 'Random Number Generation use knowledge of random.choice', 'Random Number Generation use knowledge of random module']"
Random Numbers,"['Random Numbers use knowledge of setSeed', 'Random Numbers use knowledge of nextInt', 'Random Numbers use knowledge of RandomGenerator']"
RandomGenerator,"['RandomGenerator is subclass of Random Numbers', 'RandomGenerator use knowledge of setSeed', 'RandomGenerator use knowledge of nextInt']"
Range,"['Range is subclass of Loops', 'Range use knowledge of For loops']"
Ransomware,['Ransomware is subclass of Malware']
Rapid Application Development,"['Rapid Application Development is subclass of Software Process Models', 'Rapid Application Development is subclass of Interactive Process Flow']"
Rational Unified Process (RUP),"['Rational Unified Process (RUP) is subclass of Software Development Life Cycle (SDLC)', 'Rational Unified Process (RUP) is subclass of Software Process Models', 'Rational Unified Process (RUP) is subclass of Interactive Process Flow']"
React,"['React is synonym of ReactJS', 'React is synonym of React.JS', 'React is subclass of JavaScript Framework', 'React is subclass of JavaScript Frameworks', 'React use knowledge of JSX', 'React use knowledge of State management', 'React use knowledge of Application Programs', 'React use knowledge of JavaScript']"
React Native,"['React Native is subclass of Mobile Development', 'React Native is subclass of React', 'React Native is subclass of JavaScript Framework', 'React Native is subclass of Web Framework', 'React Native use knowledge of React.js', 'React Native use knowledge of Mobile applications', 'React Native use knowledge of JavaScript', 'React Native use knowledge of React']"
React.JS,"['React.JS is subclass of Web Development', 'React.JS is subclass of JavaScript Framework', 'React.JS use knowledge of TypeScript']"
React.js,"['React.js is synonym of React', 'React.js is synonym of ReactJS', 'React.js is subclass of Web Framework', 'React.js use knowledge of Node.js', 'React.js use knowledge of JavaScript']"
ReactJS,"['ReactJS is synonym of React', 'ReactJS is synonym of React.JS', 'ReactJS is synonym of React.js', 'ReactJS is subclass of JavaScript Framework', 'ReactJS is subclass of Frontend', 'ReactJS use knowledge of CSS', 'ReactJS use knowledge of HTML', 'ReactJS use knowledge of JavaScript']"
Read,['Read is subclass of Database CRUD']
Read-Ahead,['Read-Ahead is subclass of Buffer Cache']
Readers and Writers Problem,['Readers and Writers Problem is subclass of Process Synchronization']
Reading From a Text File,"['Reading From a Text File is subclass of Flow of Control', 'Reading From a Text File use knowledge of IOException', 'Reading From a Text File use knowledge of hasNext()', 'Reading From a Text File use knowledge of Scanner Constructor', 'Reading From a Text File use knowledge of File Class']"
Reading an API,"['Reading an API is subclass of API', 'Reading an API use knowledge of Argument list in an API']"
Reading from files,['Reading from files is subclass of Java.io']
Ready queue,['Ready queue is subclass of Process Scheduling']
Real Divisors,['Real Divisors is subclass of Divider']
Real IP,['Real IP is synonym of IP Address']
Real-time Scheduling,"['Real-time Scheduling is subclass of CPU Scheduling', 'Real-time Scheduling use knowledge of Deadline Schedulers', 'Real-time Scheduling use knowledge of Demand-Driven schedulers', 'Real-time Scheduling use knowledge of Periodic schedulers', 'Real-time Scheduling use knowledge of Soft Real-time computing', 'Real-time Scheduling use knowledge of Hard Real-time computing']"
Real-time operating systems,"['Real-time operating systems is subclass of Operating System', 'Real-time operating systems use knowledge of Multimedia services', 'Real-time operating systems use knowledge of Aircraft control']"
Rebalance,['Rebalance is subclass of Trading Strategies']
Reconnaissance,['Reconnaissance is synonym of Information Gathering']
Record,['Record is synonym of Tuple']
Record A,"['Record A is subclass of Domain name system', 'Record A is subclass of DNS']"
Record Formats,['Record Formats is subclass of Database Systems']
Records Management,['Records Management is synonym of Document Management']
Recovery,"['Recovery is subclass of File System', 'Recovery is subclass of Methods for Handling Deadlocks', 'Recovery use knowledge of Resource Preemption', 'Recovery use knowledge of Process Termination']"
Recursion,"['Recursion is subclass of Algorithms', 'Recursion use knowledge of Recursive Case', 'Recursion use knowledge of Base Case', 'Recursion use knowledge of Recursive Algorithm', 'Recursion use knowledge of Conditional Execution', 'Recursion use knowledge of Functions']"
Recursive Algorithm,"['Recursive Algorithm is subclass of Algorithm', 'Recursive Algorithm use knowledge of Recursive Case', 'Recursive Algorithm use knowledge of Base Case', 'Recursive Algorithm use knowledge of Recursion']"
Recursive Case,"['Recursive Case is subclass of Condition', 'Recursive Case use knowledge of Recursive Algorithm', 'Recursive Case use knowledge of Recursion']"
Recursive Chunking,"['Recursive Chunking is synonym of Recursive Chunking', 'Recursive Chunking is subclass of Document chunking']"
Redfish,['Redfish is subclass of Hardware Management APIs']
